Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Layout	RankOrientedMeet	MeetName	ПЕРВЕНСТВО ПЕНЗЕНСКОЙ ОБЛАСТИ ПО ПЛАВАНИЮ СРЕДИ ЮНОШЕЙ И ДЕВУШЕК
Meet	City	Пенза
Meet	Nation	RUS
Meet	Date	132383493
Session	SessionNumber	2
Session	SessionName	12:00:00
Event	EventName	15
Event	Discipline	100m баттерфляй
Event	StartTime	438000000
Heat	HeatNumber	1
Heat	HeatName	Заплыв 1
Heat	Description	
Heat	StartTime	438000000
Heat	DistanceM	100
Heat	SpeedMS	0.00
Heat	Laps	2
Competitor	1	FirstName	
Competitor	1	LastName	
Competitor	1	Code	
Competitor	1	Birthday	124455966
Competitor	1	Gender	
Competitor	1	Nation	
Competitor	1	TeamName	
Competitor	1	Class	
Competitor	1	ClubName	
Competitor	1	RelayName	
Competitor	1	HorseName	
Competitor	1	Sponsor	
Competitor	2	FirstName	
Competitor	2	LastName	
Competitor	2	Code	
Competitor	2	Birthday	124455966
Competitor	2	Gender	
Competitor	2	Nation	
Competitor	2	TeamName	
Competitor	2	Class	
Competitor	2	ClubName	
Competitor	2	RelayName	
Competitor	2	HorseName	
Competitor	2	Sponsor	
Competitor	3	FirstName	
Competitor	3	LastName	
Competitor	3	Code	
Competitor	3	Birthday	124455966
Competitor	3	Gender	
Competitor	3	Nation	
Competitor	3	TeamName	
Competitor	3	Class	
Competitor	3	ClubName	
Competitor	3	RelayName	
Competitor	3	HorseName	
Competitor	3	Sponsor	
Competitor	4	FirstName	
Competitor	4	LastName	
Competitor	4	Code	
Competitor	4	Birthday	124455966
Competitor	4	Gender	
Competitor	4	Nation	
Competitor	4	TeamName	
Competitor	4	Class	
Competitor	4	ClubName	
Competitor	4	RelayName	
Competitor	4	HorseName	
Competitor	4	Sponsor	
Competitor	5	FirstName	
Competitor	5	LastName	
Competitor	5	Code	
Competitor	5	Birthday	124455966
Competitor	5	Gender	
Competitor	5	Nation	
Competitor	5	TeamName	
Competitor	5	Class	
Competitor	5	ClubName	
Competitor	5	RelayName	
Competitor	5	HorseName	
Competitor	5	Sponsor	
Competitor	6	FirstName	
Competitor	6	LastName	
Competitor	6	Code	
Competitor	6	Birthday	124455966
Competitor	6	Gender	
Competitor	6	Nation	
Competitor	6	TeamName	
Competitor	6	Class	
Competitor	6	ClubName	
Competitor	6	RelayName	
Competitor	6	HorseName	
Competitor	6	Sponsor	
Competitor	7	FirstName	
Competitor	7	LastName	
Competitor	7	Code	
Competitor	7	Birthday	124455966
Competitor	7	Gender	
Competitor	7	Nation	
Competitor	7	TeamName	
Competitor	7	Class	
Competitor	7	ClubName	
Competitor	7	RelayName	
Competitor	7	HorseName	
Competitor	7	Sponsor	
Competitor	8	FirstName	
Competitor	8	LastName	
Competitor	8	Code	
Competitor	8	Birthday	124455966
Competitor	8	Gender	
Competitor	8	Nation	
Competitor	8	TeamName	
Competitor	8	Class	
Competitor	8	ClubName	
Competitor	8	RelayName	
Competitor	8	HorseName	
Competitor	8	Sponsor	
Time	1	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	2	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
